"Sample_ID","Stemness_Score","Stemness_Group"
"TCGA-06-0675-11",2.49902525287848,"Low"
"TCGA-19-2629-01",2.59782683679005,"High"
"TCGA-06-5414-01",2.45695924937272,"Low"
"TCGA-06-5408-01",2.66015285560286,"High"
"TCGA-19-4065-02",2.44848515861693,"Low"
"TCGA-06-2569-01",2.62546985583938,"High"
"TCGA-14-0736-02",2.42209880587535,"Low"
"TCGA-26-5133-01",2.76478716179322,"High"
"TCGA-19-0957-02",2.55909011535864,"Low"
"TCGA-06-0190-02",2.21216560332291,"Low"
"TCGA-32-2632-01",2.47416684684648,"Low"
"TCGA-76-4925-01",2.76052706576326,"High"
"TCGA-19-4065-01",2.49935639572014,"Low"
"TCGA-06-0745-01",2.57655343667697,"High"
"TCGA-27-2519-01",2.57172851205867,"High"
"TCGA-14-0790-01",2.67768756296209,"High"
"TCGA-14-1829-01",2.68871156446201,"High"
"TCGA-28-2514-01",2.60842953943531,"High"
"TCGA-06-0878-01",2.44733542982034,"Low"
"TCGA-06-0678-11",2.50808856132673,"Low"
"TCGA-06-5859-01",2.6224529609004,"High"
"TCGA-19-2624-01",2.85294265470181,"High"
"TCGA-02-0055-01",2.32825428994333,"Low"
"TCGA-06-0211-02",2.55038521862869,"Low"
"TCGA-06-5416-01",2.9109961926909,"High"
"TCGA-27-1837-01",2.59013519977191,"High"
"TCGA-06-0132-01",2.35334873303805,"Low"
"TCGA-06-5858-01",2.64133079392069,"High"
"TCGA-27-2521-01",2.8305464409035,"High"
"TCGA-14-0871-01",2.96353594068727,"High"
"TCGA-32-2638-01",2.35096556730798,"Low"
"TCGA-28-2510-01",2.50114282964439,"Low"
"TCGA-26-1442-01",2.4510596038194,"Low"
"TCGA-06-5410-01",2.2300163406843,"Low"
"TCGA-41-5651-01",3.02751704717716,"High"
"TCGA-06-2564-01",2.53930900051467,"Low"
"TCGA-06-0882-01",2.34476002287561,"Low"
"TCGA-12-0619-01",2.44776658795047,"Low"
"TCGA-14-0781-01",2.23228933281458,"Low"
"TCGA-41-2571-01",2.56283712043855,"Low"
"TCGA-06-0129-01",2.76750558541771,"High"
"TCGA-19-2625-01",2.40891108580321,"Low"
"TCGA-06-2565-01",2.50769908684662,"Low"
"TCGA-02-2485-01",2.8288308747768,"High"
"TCGA-06-0210-01",2.38079638879892,"Low"
"TCGA-06-0210-02",2.44182384568901,"Low"
"TCGA-02-0047-01",2.50390416120713,"Low"
"TCGA-06-0750-01",2.22676569709841,"Low"
"TCGA-32-1982-01",2.34578469848747,"Low"
